Регион;Округ;Год;Направления реализации государственной молодeжной политики;№ строки; Бюджет СРФ, руб ; Бюджет МО, руб ; Кол-во грантов ; Бюджет грантов, руб ; Численность молодeжи, задействованной в программных мероприятиях по направлению ; Количество детских и молодeжных общественных объединений, работающих по данному  ;;;
Карачаево-Черкесская Республика;СКФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26;;;;;;;;;
Карачаево-Черкесская Республика;СКФО;2021;Развитие молодeжного самоуправления;27;;;;;;;;;
Кемеровская область;СФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; 300 000 ; 4 651 000 ; 3 ; 95 362 ; 14 480 ; 105 ;;;
Кемеровская область;СФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; -   ; -   ;;;
Кемеровская область;СФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; 405 ; 3 ;;;
Кемеровская область;СФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; 5 ; 2 ;;;
Кемеровская область;СФО;2021;      сельское хозяйство;5; -   ; -   ; -   ; -   ; 1 364 ; 20 ;;;
Кемеровская область;СФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ; 4 604 000 ; 1 ; -   ; 8 726 ; 52 ;;;
Кемеровская область;СФО;2021;      другое;7; 300 000 ; 47 000 ; 2 ; 95 362 ; 3 980 ; 28 ;;;
Кемеровская область;СФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; 80 000 ; 952 129 ; -   ; -   ; 5 565 ; 92 ;;;
Кемеровская область;СФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; -   ; 64 000 ; -   ; -   ; 7 897 ; 101 ;;;
Кемеровская область;СФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; 1 862 800 ; 83 112 ; -   ; -   ; 450 ;;;;
Кемеровская область;СФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; -   ; -   ; -   ; -   ; 2 700 ; 2 ;;;
Кемеровская область;СФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; 13 362 933 ; 9 793 416 ; 5 ; 1 942 750 ; 6 151 ; 69 ;;;
Кемеровская область;СФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 2 440 937 ; 219 589 648 ; 2 ; 594 234 ; 190 000 ; 1 038 ;;;
Кемеровская область;СФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 9 347 800 ; 7 491 271 ; -   ; 81 607 800 ; 38 311 ; 171 ;;;
Кемеровская область;СФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 23 561 400 ; 392 675 ; 28 ; 19 850 000 ; 152 628 ;;;;
Кемеровская область;СФО;2021;Формирование у молодeжи семейных ценностей;16; 800 000 ; 286 440 ; -   ; -   ; 26 802 ; 189 ;;;
Кемеровская область;СФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 757 700 ; 4 399 320 ; 1 ; 69 855 ; 65 657 ; 566 ;;;
Кемеровская область;СФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 125 000 ; 3 100 901 ; -   ; -   ; 12 154 ; 143 ;;;
Кемеровская область;СФО;2021;      поисковых отрядов и объединений;19; 200 000 ; 28 ; -   ; -   ; 1 575 ; 47 ;;;
Кемеровская область;СФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; -   ; 5 000 ; -   ; -   ; 5 882 ; 127 ;;;
Кемеровская область;СФО;2021;      молодeжных казачьих объединений;21; -   ; 100 000 ; -   ; -   ; 102 ; 6 ;;;
Кемеровская область;СФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; -   ; 387 707 ; 1 ; 69 855 ; 15 507 ; 188 ;;;
Кемеровская область;СФО;2021;      другие;23; 432 700 ; 805 684 ; -   ; -   ; 30 437 ; 55 ;;;
Кемеровская область;СФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; -   ; 296 000 ; -   ; -   ; 18 926 ; 471 ;;;
Кемеровская область;СФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 455 400 ; 1 432 386 ; 1 ; 1 200 000 ; 138 861 ; 446 ;;;
Кемеровская область;СФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; 900 000 ; 40 149 075 ; 1 ; 262 000 ; 140 164 ; 143 ;;;
Кемеровская область;СФО;2021;Развитие молодeжного самоуправления;27; 1 648 200 ; 316 833 ; -   ; 1 940 ;;;;;
Кировская область;ПФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; 94 120 ; 12 900 ; -   ; -   ; 6 316 ; 36 ;;;
Кировская область;ПФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; -   ; -   ;;;
Кировская область;ПФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; 692 ; 3 ;;;
Кировская область;ПФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; -   ; -   ;;;
Кировская область;ПФО;2021;      сельское хозяйство;5; -   ; -   ; -   ; -   ; 78 ; 2 ;;;
Кировская область;ПФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; 94 120 ; 3 000 ; -   ; -   ; 3 475 ; 19 ;;;
Кировская область;ПФО;2021;      другое;7; -   ; 9 900 ; -   ; -   ; 2 071 ; 12 ;;;
Кировская область;ПФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; 18 474 ; 113 070 ; -   ; -   ; 4 175 ; 55 ;;;
Кировская область;ПФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; -   ; 74 000 ; -   ; -   ; 2 127 ; 64 ;;;
Кировская область;ПФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; 5 408 561 ; 15 000 ; -   ; -   ; 1 401 ;;;;
Кировская область;ПФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; 1 753 149 ; 1 000 ; -   ; -   ; 4 054 ; 21 ;;;
Кировская область;ПФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; 45 405 ; 436 702 ; -   ; -   ; 24 235 ; 155 ;;;
Кировская область;ПФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 16 709 595 ; 879 425 ; 1 ; 500 000 ; 171 795 ; 427 ;;;
Кировская область;ПФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 1 175 930 ; 953 159 ; -   ; -   ; 20 154 ; 96 ;;;
Кировская область;ПФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 98 000 ; 127 926 ; 1 ; 499 837 ; 39 957 ;;;;
Кировская область;ПФО;2021;Формирование у молодeжи семейных ценностей;16; 1 163 031 ; 360 875 ; -   ; -   ; 27 039 ; 86 ;;;
Кировская область;ПФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 1 119 523 ; 3 067 430 ; -   ; -   ; 224 714 ; 259 ; 71 000 ;;
Кировская область;ПФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; -   ; 2 456 966 ; -   ; -   ; 12 836 ; 80 ;;;
Кировская область;ПФО;2021;      поисковых отрядов и объединений;19; 311 285 ; 170 440 ; -   ; -   ; 5 398 ; 21 ;;;
Кировская область;ПФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; -   ; 6 500 ; -   ; -   ; 6 789 ; 45 ;;;
Кировская область;ПФО;2021;      молодeжных казачьих объединений;21; -   ; -   ; -   ; -   ; 106 ; 5 ;;;
Кировская область;ПФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; 301 132 ; 106 850 ; -   ; -   ; 14 660 ; 87 ;;;
Кировская область;ПФО;2021;      другие;23; 507 106 ; 326 674 ; -   ; -   ; 184 925 ; 21 ;;;
Кировская область;ПФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; 383 831 ; 106 000 ; -   ; -   ; 58 055 ; 71 ;;;
Кировская область;ПФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 661 460 ; 489 441 ; 1 ; 474 000 ; 222 688 ; 227 ;;;
Кировская область;ПФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; 17 772 ; 1 644 677 ; -   ; -   ; 113 051 ; 266 ;;;
Кировская область;ПФО;2021;Развитие молодeжного самоуправления;27; 10 000 ; 150 585 ; -   ; -   ; 19 021 ;;;;
Костромская область;ЦФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; 35 000 ; 1 078 796 ; -   ; -   ; 5 468 ; 101 ;;;
Костромская область;ЦФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; -   ; -   ;;;
Костромская область;ЦФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3;; -   ; -   ; -   ; 73 ; 6 ;;;
Костромская область;ЦФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; -   ; -   ;;;
Костромская область;ЦФО;2021;      сельское хозяйство;5; 35 000 ;; -   ; -   ; 846 ; 28 ;;;
Костромская область;ЦФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ; -   ; -   ; -   ; 580 ; 21 ;;;
Костромская область;ЦФО;2021;      другое;7; -   ; 1 078 796 ; -   ; -   ; 3 969 ; 46 ;;;
Костромская область;ЦФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8;; 193 344 ; -   ; -   ; 8 423 ; 36 ;;;
Костромская область;ЦФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 40 000 ; 25 914 ; -   ; -   ; 3 892 ; 54 ;;;
Костромская область;ЦФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; 6 068 ; 150 955 ; -   ; -   ; 166 ;;;;
Костромская область;ЦФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; 554 752 ; 2 500 ; -   ; -   ; 5 717 ; 10 ;;;
Костромская область;ЦФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; -   ; 908 366 ; -   ; -   ; 3 023 ; 60 ;;;
Костромская область;ЦФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 395 937 ; 1 508 764 ; 1 ; 30 000 ; 92 637 ; 450 ;;;
Костромская область;ЦФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 2 397 731 ; 2 192 421 ; -   ; -   ; 23 958 ; 130 ;;;
Костромская область;ЦФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 5 165 ; 126 524 ; -   ; -   ; 45 037 ;;;;
Костромская область;ЦФО;2021;Формирование у молодeжи семейных ценностей;16; 65 000 ; 133 089 ; -   ; -   ; 30 505 ; 78 ;;;
Костромская область;ЦФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 928 309 ; 1 892 545 ; -   ; -   ; 188 723 ; 456 ;45000;;
Костромская область;ЦФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 260 795 ; 410 376 ; -   ; -   ; 28 917 ; 138 ;;;
Костромская область;ЦФО;2021;      поисковых отрядов и объединений;19; 120 000 ; 252 140 ; -   ; -   ; 10 456 ; 15 ;;;
Костромская область;ЦФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; -   ; 4 200 ; -   ; -   ; 6 450 ; 32 ;;;
Костромская область;ЦФО;2021;      молодeжных казачьих объединений;21; -   ; 1 100 ; -   ; -   ; 170 ; 6 ;;;
Костромская область;ЦФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; 54 405 ; 237 246 ; -   ; -   ; 24 034 ; 124 ;;;
Костромская область;ЦФО;2021;      другие;23; 493 109 ; 987 483 ; -   ; -   ; 118 696 ; 141 ;;;
Костромская область;ЦФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; 189 800 ; 44 786 ; -   ; -   ; 39 258 ; 63 ;;;
Костромская область;ЦФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 627 600 ; 696 763 ; 1 ; 30 000 ; 78 289 ; 194 ;;;
Костромская область;ЦФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; 52 920 ; 855 616 ; 1 ; 30 000 ; 73 292 ; 330 ;;;
Костромская область;ЦФО;2021;Развитие молодeжного самоуправления;27; -   ; 64 492 ; 1 ; 30 000 ; 17 752 ;;;;
Краснодарский край;ЮФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; 2 064 229 ; 403 699 ; 11 ; 541 265 ; 11 736 ; 10 ;;;
Краснодарский край;ЮФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; 90 ; -   ;;;
Краснодарский край;ЮФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; 93 ; -   ;;;
Краснодарский край;ЮФО;2021;      аэрокосмос;4; -   ; -   ; 1 ; 491 265 ; 1 ; -   ;;;
Краснодарский край;ЮФО;2021;      сельское хозяйство;5; -   ; 10 000 ; -   ; -   ; 256 ; 6 ;;;
Краснодарский край;ЮФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ; -   ; -   ; -   ; 266 ; 2 ;;;
Краснодарский край;ЮФО;2021;      другое;7; 2 064 229 ; 393 699 ; 10 ; 50 000 ; 11 030 ; 2 ;;;
Краснодарский край;ЮФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; -   ; 1 803 904 ; 11 ; 18 480 554 ; 1 980 ; 22 ;;;
Краснодарский край;ЮФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 796 152 ; 1 595 817 ; 1 ; 494 371 ; 46 502 ; 13 ;;;
Краснодарский край;ЮФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; -   ; 238 400 ; -   ; -   ; 68 ;;;;
Краснодарский край;ЮФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; -   ; 2 640 900 ; -   ; -   ; 4 290 ; 10 ;;;
Краснодарский край;ЮФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; -   ; 2 403 277 ; 1 ; 801 033 ; 28 824 ; 40 ;;;
Краснодарский край;ЮФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 3 649 930 ; 15 098 918 ; 1 ; 839 924 ; 210 060 ; 58 ;;;
Краснодарский край;ЮФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 13 962 500 ; 18 865 974 ; 1 ; 1 140 648 ; 51 812 ; 10 ;;;
Краснодарский край;ЮФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 9 400 000 ; 2 145 638 ; 4 ; 1 050 000 ; 62 475 ;;;;
Краснодарский край;ЮФО;2021;Формирование у молодeжи семейных ценностей;16; -   ; 3 845 910 ; 2 ; 936 010 ; 55 268 ; 21 ;;;
Краснодарский край;ЮФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 3 345 200 ; 27 633 772 ; 14 ; 16 305 314 ; 2 000 265 ; 108 ;6000;;
Краснодарский край;ЮФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 497 105 ; 7 012 861 ; 2 ; 830 710 ; 898 011 ; 37 ;;;
Краснодарский край;ЮФО;2021;      поисковых отрядов и объединений;19; -   ; 358 326 ; 1 ; 932 609 ; 12 842 ; 14 ;;;
Краснодарский край;ЮФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; -   ; 52 048 ; -   ; -   ; 42 637 ; 7 ;;;
Краснодарский край;ЮФО;2021;      молодeжных казачьих объединений;21; 767 000 ; 94 898 ; -   ; -   ; 38 568 ; 23 ;;;
Краснодарский край;ЮФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; -   ; 322 947 ; -   ; -   ; 32 474 ; 22 ;;;
Краснодарский край;ЮФО;2021;      другие;23; 2 081 095 ; 19 792 692 ; 11 ; 14 541 995 ; 975 733 ; 5 ;;;
Краснодарский край;ЮФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; 1 712 534 ; 3 210 277 ; 2 ; 2 440 290 ; 187 093 ; 71 ;;;
Краснодарский край;ЮФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 2 601 422 ; 7 216 104 ; 2 ; 1 321 447 ; 583 616 ; 75 ;;;
Краснодарский край;ЮФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; 87 564 715 ; 22 971 432 ; 8 ; 8 259 745 ; 916 471 ; 68 ;;;
Краснодарский край;ЮФО;2021;Развитие молодeжного самоуправления;27; 841 800 ; 2 831 656 ; -   ; -   ; 198 816 ;;;;
Красноярский край;СФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; 1 158 091 ; 615 069 ; 13 ; 234 683 ; 4 464 ; 53 ;;;
Красноярский край;СФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; -   ; -   ;;;
Красноярский край;СФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; 120 ; 2 ;;;
Красноярский край;СФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; -   ; -   ;;;
Красноярский край;СФО;2021;      сельское хозяйство;5; 3 000 ; 320 800 ; 1 ; 10 000 ; 642 ; 3 ;;;
Красноярский край;СФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; 499 060 ; 284 269 ; 7 ; 68 436 ; 1 584 ; 31 ;;;
Красноярский край;СФО;2021;      другое;7; 656 031 ; 10 000 ; 5 ; 156 247 ; 2 118 ; 17 ;;;
Красноярский край;СФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; -   ; 59 574 ; 33 ; 846 969 ; 1 484 ; 33 ;;;
Красноярский край;СФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 2 271 030 ; 181 928 ; 16 ; 313 680 ; 551 ; 68 ;;;
Красноярский край;СФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; 1 962 730 ; 302 330 ; -   ; -   ; 126 ;;;;
Красноярский край;СФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; 33 280 105 ; 140 178 ; -   ; -   ; 1 502 ; 3 ;;;
Красноярский край;СФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; 600 ; 1 978 438 ; 26 ; 373 415 ; 8 004 ; 136 ;;;
Красноярский край;СФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 5 116 893 ; 17 667 244 ; 118 ; 6 161 755 ; 106 836 ; 301 ;;;
Красноярский край;СФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 2 033 033 ; 7 282 448 ; 73 ; 837 282 ; 32 817 ; 97 ;;;
Красноярский край;СФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 1 243 602 ; 1 986 473 ; 34 ; 9 811 200 ; 14 886 ;;;;
Красноярский край;СФО;2021;Формирование у молодeжи семейных ценностей;16; 3 000 ; 276 040 ; 14 ; 257 930 ; 7 062 ; 28 ;;;
Красноярский край;СФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 2 173 813 ; 13 904 377 ; 86 ; 5 558 253 ; 44 849 ; 350 ;32002;;
Красноярский край;СФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 1 049 556 ; 7 920 932 ; 23 ; 3 337 800 ; 21 500 ; 213 ;;;
Красноярский край;СФО;2021;      поисковых отрядов и объединений;19; 9 350 ; 516 817 ; -   ; -   ; 797 ; 20 ;;;
Красноярский край;СФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; -   ; 928 721 ; 13 ; 1 443 648 ; 1 037 ; 21 ;;;
Красноярский край;СФО;2021;      молодeжных казачьих объединений;21; 26 200 ; 6 000 ; -   ; -   ; 245 ; 10 ;;;
Красноярский край;СФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; 23 060 ; 350 032 ; 3 ; 29 856 ; 3 547 ; 39 ;;;
Красноярский край;СФО;2021;      другие;23; 1 065 647 ; 4 181 875 ; 47 ; 746 949 ; 17 723 ; 47 ;;;
Красноярский край;СФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; 2 000 000 ; 1 004 299 ; 3 ; 47 906 ; 46 902 ; 20 ;;;
Красноярский край;СФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 16 105 512 ; 928 901 ; 37 ; 72 943 ; 39 927 ; 202 ;;;
Красноярский край;СФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; 1 115 919 ; 3 965 659 ; 53 ; 3 502 993 ; 44 620 ; 132 ;;;
Красноярский край;СФО;2021;Развитие молодeжного самоуправления;27; 2 700 000 ; 77 000 ; 25 ; 585 802 ; 4 819 ;;;;
Курганская область;УФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; 450 820 ; 155 000 ; 3 ; 14 000 ; 2 932 ; 58 ;;;
Курганская область;УФО;2021;      биомедицина;2; 105 000 ; -   ; -   ; -   ; 38 ; -   ;;;
Курганская область;УФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; 30 000 ; -   ; -   ; -   ; 18 ; 2 ;;;
Курганская область;УФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; 2 ;;;;
Курганская область;УФО;2021;      сельское хозяйство;5; 50 000 ; 8 000 ; 2 ; 4 000 ; 378 ; 12 ;;;
Курганская область;УФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; 245 000 ; 15 000 ; -   ; -   ; 1 951 ; 28 ;;;
Курганская область;УФО;2021;      другое;7; 20 820 ; 132 000 ; 1 ; 10 000 ; 545 ; 16 ;;;
Курганская область;УФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; 235 448 ; 130 900 ; 7 ; 510 555 ; 7 544 ; 87 ;;;
Курганская область;УФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 110 450 ; 63 700 ; 1 ; 1 000 000 ; 2 144 ; 105 ;;;
Курганская область;УФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; 243 350 ; 81 899 ; 1 ; 300 000 ; 36 ;;;;
Курганская область;УФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; 843 000 ; 89 000 ; 1 ; 1 364 500 ; 218 ; 15 ;;;
Курганская область;УФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; 325 000 ; 673 448 ; 4 ; 2 308 843 ; 3 626 ; 178 ;;;
Курганская область;УФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 250 000 ; 1 418 925 ; -   ; -   ; 56 300 ; 557 ;;;
Курганская область;УФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 310 443 ; 6 134 507 ; 2 ; 312 000 ; 10 439 ; 123 ;;;
Курганская область;УФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 376 489 ; 197 612 ; 1 ; 900 000 ; 19 149 ;;;;
Курганская область;УФО;2021;Формирование у молодeжи семейных ценностей;16; 130 000 ; 430 830 ; 1 ; 450 000 ; 11 389 ; 179 ;;;
Курганская область;УФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 1 620 000 ; 1 012 783 ; 8 ; 600 500 ; 37 397 ; 554 ;;;
Курганская область;УФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 200 000 ; 241 049 ; 1 ; 2 000 ; 8 853 ; 132 ;;;
Курганская область;УФО;2021;      поисковых отрядов и объединений;19; 150 445 ; 72 000 ; -   ; -   ; 601 ; 7 ;;;
Курганская область;УФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; 950 000 ; 29 670 ; 1 ; 10 000 ; 3 569 ; 85 ;;;
Курганская область;УФО;2021;      молодeжных казачьих объединений;21; 145 000 ; 15 000 ; 1 ; 4 000 ; 852 ; 9 ;;;
Курганская область;УФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; 165 400 ; 271 500 ; 3 ; 34 000 ; 19 394 ; 254 ;;;
Курганская область;УФО;2021;      другие;23; 9 155 ; 383 564 ; 2 ; 550 500 ; 4 128 ; 67 ;;;
Курганская область;УФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; 150 000 ; 923 000 ; -   ; -   ; 11 838 ; 93 ;;;
Курганская область;УФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 440 000 ; 271 619 ; 4 ; 61 000 ; 24 284 ; 356 ;;;
Курганская область;УФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; 350 000 ; 2 445 106 ; 5 ; 402 000 ; 37 242 ; 330 ;;;
Курганская область;УФО;2021;Развитие молодeжного самоуправления;27; 100 000 ; 150 200 ; -   ; -   ; 9 479 ;;;;
Курская область;ЦФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; 651 260 ; 7 552 190 ; 5 ; 250 000 ; 14 312 ; 8 ;;;
Курская область;ЦФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; 1 112 ; 1 ;;;
Курская область;ЦФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; 180 ; 1 ;;;
Курская область;ЦФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; 134 ; 1 ;;;
Курская область;ЦФО;2021;      сельское хозяйство;5; -   ; -   ; -   ; -   ; 2 175 ; 2 ;;;
Курская область;ЦФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ; 94 944 ; -   ; -   ; 2 512 ; 2 ;;;
Курская область;ЦФО;2021;      другое;7; 651 260 ; 7 457 246 ; 5 ; 250 000 ; 8 199 ; 1 ;;;
Курская область;ЦФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; 17 580 ; 4 362 082 ; 1 ; 98 000 ; 3 144 ; 12 ;;;
Курская область;ЦФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 138 536 ; 177 000 ; 1 ; 25 000 ; 4 995 ; 11 ;;;
Курская область;ЦФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; 507 350 ; 9 600 ; -   ; -   ; 89 ;;;;
Курская область;ЦФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; 7 009 957 ; 133 000 ; -   ; -   ; 31 832 ; 18 ;;;
Курская область;ЦФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; 409 101 ; 57 275 ; 1 ; 50 000 ; 41 134 ; 40 ;;;
Курская область;ЦФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 3 222 430 ; 2 383 214 ; 47 ; 670 000 ; 41 300 ; 23 ;;;
Курская область;ЦФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 1 385 520 ; 685 872 ; 6 ; 395 000 ; 26 460 ; 8 ;;;
Курская область;ЦФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 2 435 310 ; 1 605 962 ; 17 ; 14 000 000 ; 85 222 ;;;;
Курская область;ЦФО;2021;Формирование у молодeжи семейных ценностей;16; 50 000 ; 2 183 358 ; 2 ; 241 000 ; 36 182 ; 3 ;;;
